Crop,State,Land_Area,Yield_per_Acre,Predicted_Price,Cultivation_Cost,Production,Revenue,Profit,Loan_Amount,Interest_Rate,Tenure,EMI,Profit_Margin,Debt_to_Profit_Ratio,Risk
Rice,Bihar,4.04,2.53,28903.96,58515.64,10.22,295398.47,236882.83,273962.88,7.75,9,31431.73,80.19,1.16,SAFE
Wheat,Madhya Pradesh,8.79,3.61,23825.37,186636.65,31.73,755978.99,569342.34,248062.59,9.33,6,42476.09,75.31,0.44,SAFE
Wheat,Punjab,9.43,2.91,20536.86,176790.93,27.44,563531.44,386740.51,209958.1,8.26,9,24138.92,68.63,0.54,SAFE
Wheat,Uttar Pradesh,6.77,1.76,27833.63,205571.55,11.92,331776.87,126205.32,250722.75,7.19,6,42667.8,38.04,1.99,SAFE
Wheat,Bihar,3.79,2.62,23212.33,176090.96,9.93,230498.44,54407.48,127213.32,7.46,12,11034.35,23.6,2.34,MODERATE
Rice,Madhya Pradesh,6.48,3.26,29394.52,218545.79,21.12,620812.26,402266.47,137591.93,7.59,9,15775.54,64.8,0.34,SAFE
Rice,Punjab,6.8,1.98,22878.38,187400.36,13.46,307942.99,120542.63,42672.11,9.95,9,4940.08,39.14,0.35,SAFE
Wheat,Uttar Pradesh,4.16,3.03,26369.46,221849.25,12.6,332255.2,110405.95,278131.38,8.98,9,32071.29,33.23,2.52,MODERATE
Rice,Haryana,4.09,3.61,20120.94,121125.04,14.76,296985.07,175860.03,97001.56,7.06,9,11097.48,59.22,0.55,SAFE
Rice,Bihar,4.29,3.14,24978.13,126893.64,13.47,336455.41,209561.77,178779.8,11.78,9,20852.13,62.29,0.85,SAFE
Wheat,Haryana,8.99,3.49,20029.62,56111.54,31.38,628529.48,572417.94,266903.81,7.44,12,23148.49,91.07,0.47,SAFE
Rice,Madhya Pradesh,7.55,2.99,22331.75,181503.93,22.57,504027.6,322523.67,270136.18,7.13,6,45963.6,63.99,0.84,SAFE
